discount,img,platform,price,time,title
-60%,https://s2.gaming-cdn.com/images/products/6448/380x218/the-division-2-warlords-of-new-york-expansion-pc-game-ubisoft-connect-europe-cover.jpg?v=1666177350,None,10.99€,20/10/2022 ::16:11:50,The Division 2 Warlords of New York Expansion
-22%,https://s2.gaming-cdn.com/images/products/10636/380x218/anno-1800-season-pass-4-pc-game-ubisoft-connect-europe-cover.jpg?v=1666177777,None,19.50€,20/10/2022 ::16:11:50,Anno 1800 Season Pass 4
-81%,https://s1.gaming-cdn.com/images/products/1842/380x218/far-cry-5-pc-game-ubisoft-connect-europe-cover.jpg?v=1648470493,None,11.38€,20/10/2022 ::16:11:50,Far Cry 5
-89%,https://s2.gaming-cdn.com/images/products/1084/380x218/far-cry-primal-pc-game-ubisoft-connect-cover.jpg?v=1650481900,None,5.34€,20/10/2022 ::16:11:50,Far Cry Primal
-68%,https://s2.gaming-cdn.com/images/products/5884/380x218/anno-1800-complete-edition-year-3-complete-edition-year-3-pc-game-ubisoft-connect-europe-cover.jpg?v=1652865530,None,35.55€,20/10/2022 ::16:11:50,Anno 1800 Complete Edition Year 3
-47%,https://s1.gaming-cdn.com/images/products/7080/380x218/far-cry-6-pc-game-ubisoft-connect-europe-cover.jpg?v=1666101212,None,31.99€,20/10/2022 ::16:11:50,Far Cry 6
-83%,https://s2.gaming-cdn.com/images/products/4639/380x218/the-crew-2-gold-edition-gold-edition-pc-game-ubisoft-connect-europe-cover.jpg?v=1657277207,None,15.40€,20/10/2022 ::16:11:50,The Crew 2 Gold Edition
-29%,https://s3.gaming-cdn.com/images/products/12923/380x218/triangle-strategy-deluxe-edition-deluxe-edition-pc-game-steam-europe-cover.jpg?v=1666191133,None,45.99€,20/10/2022 ::16:11:50,Triangle Strategy - Deluxe Edition
-14%,https://s2.gaming-cdn.com/images/products/11368/380x218/dead-by-daylight-roots-of-dread-chapter-pc-game-steam-cover.jpg?v=1666177874,None,5.99€,20/10/2022 ::16:11:50,Dead by Daylight - Roots of Dread Chapter
-28%,https://s2.gaming-cdn.com/images/products/10255/380x218/motogp-22-pc-game-steam-cover.jpg?v=1650562274,None,35.76€,20/10/2022 ::16:11:50,MotoGP 22
